,Nº de producto,Estado,Disponible para la venta,Disponible para la compra,Disponible para integrar otros productos,Compuesto por otros productos,Rubro,Nombre,codigo,Código universal de producto (UPC),Código de proveedor,Stock actual,Stock ideal,Stock mínimo,Unidad,Alicuota de IVA,Proveedor,Costo ($),Utilidad (%),Precio ($),Unnamed: 20,Unnamed: 21,Unnamed: 22,Precio Final ($),Controla stock,Stock negativo,Mostrar en tienda,Nº de publicación en MercadoLibre,Nº de publicación adicional en MercadoLibre,Descripción,Descripción para la tienda,Observaciones Internas
441,444,Habilitado,SI,SI,NO,NO,,CABO HACHITA 35 cms. RECTO,CH35,',',0,0,0,unidad,0.21,CAVALLFER,0,0,512.3966942,620.82065925,,620.0,620,SI,SI,NO,0.0,0.0,,,
442,445,Habilitado,SI,SI,NO,NO,,CABO HACHITA 40 cms. RECTO,CH40,',',0,0,0,unidad,0.21,CAVALLFER,0,0,537.1900826,653.729967,,650.0,650,SI,SI,NO,0.0,0.0,,,
443,446,Habilitado,SI,SI,NO,NO,,CABO HACHITA VIZCAINA DE 35 cms.,chv35,',',0,0,0,unidad,0.21,CAVALLFER,0,0,578.5123967,704.21246775,,700.0,700,SI,SI,NO,0.0,0.0,,,
444,447,Habilitado,SI,SI,NO,NO,,CABO P/ MACETA ALBAÑIL 25 cms.,CM25,',',0,0,0,unidad,0.21,CAVALLFER,0,0,190.0826446,230.83233525000003,,230.0,230,SI,SI,NO,0.0,0.0,,,
445,448,Habilitado,SI,SI,NO,NO,,CABO P/ MACETA ALBAÑIL 30 cms.,CM30,',',0,0,0,unidad,0.21,CAVALLFER,0,0,206.6115702,247.72272525,,250.0,250,SI,SI,NO,0.0,0.0,,,
446,449,Habilitado,SI,SI,NO,NO,,CABO P/ MACETA ALBAÑIL 35 cms.,CM35,',',0,0,0,unidad,0.21,CAVALLFER,0,0,239.6694215,288.56512575,,290.0,290,SI,SI,NO,0.0,0.0,,,
447,450,Habilitado,SI,SI,NO,NO,,CABO P/ MACETA ALBAÑIL 40 cms.,CM40,',',0,0,0,unidad,0.21,CAVALLFER,0,0,280.9917355,339.2273115,,340.0,340,SI,SI,NO,0.0,0.0,,,
448,451,Habilitado,SI,SI,NO,NO,,CABO MAZA 60 cms.RECTO PULIDO,CM60,',',0,0,0,unidad,0.21,CAVALLFER,0,0,504.1322314,614.2082512499999,,610.0,610,SI,SI,NO,0.0,0.0,,,
449,452,Habilitado,SI,SI,NO,NO,,CABO MAZA 90 cms. RECTO PULIDO,CM90,',',0,0,0,unidad,0.21,CAVALLFER,0,0,859.5041322,1037.2316624999999,,1040.0,1040,SI,SI,NO,0.0,0.0,,,
450,453,Habilitado,SI,SI,NO,NO,,CABO PALA 70 cms. EMPUÑADURA METALICA,CPM70,',',0,0,0,unidad,0.21,CAVALLFER,0,0,991.7355372,1200.547359,,1200.0,1200,SI,SI,NO,0.0,0.0,,,
451,454,Habilitado,SI,SI,NO,NO,,CABO PALA 70 cms. EMPUÑADURA PLASTICA,CPP70,',',0,0,0,unidad,0.21,CAVALLFER,0,0,925.6198347,1117.77546375,,1120.0,1120,SI,SI,NO,0.0,0.0,,,
452,455,Habilitado,SI,SI,NO,NO,,CABO PARA PICO 90 cms. PULIDOS,CP,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1603.305785,1943.8862354999999,,1940.0,1940,SI,SI,NO,0.0,0.0,,,
453,456,Habilitado,SI,SI,NO,NO,,CABO P/ RASTRILLO 1.50 mts.,CR150,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1462.809917,1771.7839425,,1770.0,1770,SI,SI,NO,0.0,0.0,,,
454,457,Habilitado,SI,SI,NO,NO,,CADENA PATENTE ZINCADA NO. 25  8.0 mts  x  kg.  Ba,CPZ25,',',0,0,0,unidad,0.21,CAVALLFER,0,0,611.5702479,5944.563776249999,743.070472,740.0,740,SI,SI,NO,0.0,0.0,,,
455,458,Habilitado,SI,SI,NO,NO,,CADENA PATENTE ZINCADA NO. 30  6.0 mts  x  kg.  Ba,CPZ30,',',0,0,0,unidad,0.21,CAVALLFER,0,0,710.7438017,5146.960029749999,857.8266716,860.0,860,SI,SI,NO,0.0,0.0,,,
456,459,Habilitado,SI,SI,NO,NO,,CADENA PATENTE ZINCADA NO. 40  3.3 mts  x  kg.  Ba,CPZ40,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1223.140496,4881.574268999999,1479.26493,1480.0,1480,SI,SI,NO,0.0,0.0,,,
457,460,Habilitado,SI,SI,NO,NO,,CADENA PATENTE ZINCADA NO. 50  2.0 mts  x  kg.  Ba,CPZ50,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1760.330579,4262.33483775,2131.167419,2130.0,2130,SI,SI,NO,0.0,0.0,,,
458,461,Habilitado,SI,SI,NO,NO,,CADENA PATENTE ZINCADA NO. 60  1.4 mts  x  kg.  Ba,CPZ60,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2512.396694,4262.33483775,3044.524884,3040.0,3040,SI,SI,NO,0.0,0.0,,,
459,462,Habilitado,SI,SI,NO,NO,,CADENA PATENTE ZINCADA NO. 70  1.0 mts. x  kg.  Ba,CPZ70,',',0,0,0,unidad,0.21,CAVALLFER,0,0,3520.661157,4262.33483775,4262.334838,4260.0,4260,SI,SI,NO,0.0,0.0,,,
460,463,Habilitado,SI,SI,NO,NO,,CADENA PATENTE ZINCADA NO. 80  0.8 mts  x  kg.  Ba,CPZ80,',',0,0,0,unidad,0.21,CAVALLFER,0,0,4305.785124,4165.81704,5207.2713,5210.0,5210,SI,SI,NO,0.0,0.0,,,
461,464,Habilitado,SI,SI,NO,NO,,CADENA PATENTE ZINCADA NO. 90  0.6 mts  x  kg.  Ba,CPZ90,',',0,0,0,unidad,0.21,CAVALLFER,0,0,5735.53719,4165.81704,6943.0284,6940.0,6940,SI,SI,NO,0.0,0.0,,,
462,465,Habilitado,SI,SI,NO,NO,,"CAJA HERRAM. PLAST. 13"" C/BAND. KASSE C13ACB",CP13CB,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1586.77686,1924.8486097499997,,1920.0,1920,SI,SI,NO,0.0,0.0,,,
463,466,Habilitado,SI,SI,NO,NO,,"CAJA HERRAM. PLAST. 16"" C/ BAND. KASSE C16ACB",CP16CB,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2388.429752,2887.2145169999994,,2890.0,2890,SI,SI,NO,0.0,0.0,,,
464,467,Habilitado,SI,SI,NO,NO,,"CAJA HERRAM. PLAST. 19"" C/ BAND. KASSE C19ACB",CP19CB,',',0,0,0,unidad,0.21,CAVALLFER,0,0,3132.231405,3786.2953672499993,,3790.0,3790,SI,SI,NO,0.0,0.0,,,
465,468,Habilitado,SI,SI,NO,NO,,CALENTADOR INMERSION METALICO LARGO,CIRB,',',0,0,0,unidad,0.21,CAVALLFER,0,0,909.0909091,1099.0433025,,1100.0,1100,SI,SI,NO,0.0,0.0,,,
466,469,Habilitado,SI,SI,NO,NO,,CALENTADOR INMERSION PLASTICO SUPER,CIP,',',0,0,0,unidad,0.21,CAVALLFER,0,0,561.9834711,676.3433242499999,,680.0,680,SI,SI,NO,0.0,0.0,,,
467,470,Habilitado,SI,SI,NO,NO,,"CANDADO COMBINACION 35mm ""ROTTWEILER""",CC35,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1140.495868,1382.0022562499998,,1380.0,1380,SI,SI,NO,0.0,0.0,,,
468,471,Habilitado,SI,SI,NO,NO,,"CANDADO BRONCEADO ""DUBAI"" 20 mm.",CBD20,',',0,0,0,unidad,0.21,CAVALLFER,0,0,776.8595041,938.8451407499998,,940.0,940,SI,SI,NO,0.0,0.0,,,
469,472,Habilitado,SI,SI,NO,NO,,"CANDADO BRONCEADO ""DUBAI"" 25 mm.",CBD25,',',0,0,0,unidad,0.21,CAVALLFER,0,0,876.0330579,1055.864997,,1060.0,1060,SI,SI,NO,0.0,0.0,,,
470,473,Habilitado,SI,SI,NO,NO,,"CANDADO BRONCEADO ""DUBAI"" 32 mm.",CBD32,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1082.644628,1314.8988929999998,,1310.0,1310,SI,SI,NO,0.0,0.0,,,
471,474,Habilitado,SI,SI,NO,NO,,"CANDADO BRONCEADO ""DUBAI"" 38 mm.",CBD38,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1272.727273,1544.9406142499997,,1540.0,1540,SI,SI,NO,0.0,0.0,,,
472,475,Habilitado,SI,SI,NO,NO,,"CANDADO BRONCEADO ""DUBAI"" 50 mm.",CBD50,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1958.677686,2371.842,,2370.0,2370,SI,SI,NO,0.0,0.0,,,
473,476,Habilitado,SI,SI,NO,NO,,"CANDADO BRONCEADO ""DUBAI"" 63 mm.",CBD63,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2884.297521,3487.2995272499998,,3490.0,3490,SI,SI,NO,0.0,0.0,,,
474,477,Habilitado,SI,SI,NO,NO,,CANDADO BRONCEADO DUBAI LARGO 32mm.,CBDL32,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1173.553719,1419.1521299999997,,1420.0,1420,SI,SI,NO,0.0,0.0,,,
475,478,Habilitado,SI,SI,NO,NO,,CANDADO BRONCEADO DUBAI LARGO 38mm.,CBDL38,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1380.165289,1668.9052957499998,,1670.0,1670,SI,SI,NO,0.0,0.0,,,
476,479,Habilitado,SI,SI,NO,NO,,CANDADO BRONCEADO DUBAI LARGO 50mm.,CBDL50,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2115.702479,2563.206525,,2560.0,2560,SI,SI,NO,0.0,0.0,,,
477,480,Habilitado,SI,SI,NO,NO,,"CANILLA PARA LAVARROPAS NIQUELADA 1/2""",CPLN,',',0,0,0,unidad,0.21,CAVALLFER,0,0,3520.661157,4258.363799250001,,4260.0,4260,SI,SI,NO,0.0,0.0,,,
478,481,Habilitado,SI,SI,NO,NO,,"CANILLA P/ LAVARROPAS PLASTICA ""GINYPLAS""",CPLP,',',0,0,0,unidad,0.21,CAVALLFER,0,0,909.0909091,1104.1104195,,1100.0,1100,SI,SI,NO,0.0,0.0,,,
479,482,Habilitado,SI,SI,NO,NO,,"CANILLA ESFERICA NIQUELADA 1/2""",CEN12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,966.9421488,1170.5579325,,1170.0,1170,SI,SI,NO,0.0,0.0,,,
480,483,Habilitado,SI,SI,NO,NO,,"CANILLA ESFERICA NIQUELADA 1/2"" MARIPOSA",CEN12M,',',0,0,0,unidad,0.21,CAVALLFER,0,0,966.9421488,1170.5579325,,1170.0,1170,SI,SI,NO,0.0,0.0,,,
481,484,Habilitado,SI,SI,NO,NO,,"CANILLA ESFERICA NIQUELADA 3/4""",CEN34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1446.280992,1753.1326394999996,,1750.0,1750,SI,SI,NO,0.0,0.0,,,
482,485,Habilitado,SI,SI,NO,NO,,"CANILLA ESFERICA NIQUELADA 3/4"" MARIPOSA",CEN34M,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1446.280992,1748.838168,,1750.0,1750,SI,SI,NO,0.0,0.0,,,
483,486,Habilitado,SI,SI,NO,NO,,"CANILLA ESFERICA NIQUELADA ESFERA BRONCE  1""",CEN1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,6157.024793,7451.61780825,,7450.0,7450,SI,SI,NO,0.0,0.0,,,
484,487,Habilitado,SI,SI,NO,NO,,"CANILLA PLASTICA ESF.C/MANGA 1/2""",CP12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,512.3966942,619.4460690000001,,620.0,620,SI,SI,NO,0.0,0.0,,,
485,488,Habilitado,SI,SI,NO,NO,,"CANILLA PLASTICA ESF.C/MANGA 3/4""",CP34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,652.892562,787.2179535,,790.0,790,SI,SI,NO,0.0,0.0,,,
486,489,Habilitado,SI,SI,NO,NO,,CANILLA PLASTICA 1/2  GINYPLAS,CP12G,',',0,0,0,unidad,0.21,CAVALLFER,0,0,454.5454545,550.159533,,550.0,550,SI,SI,NO,0.0,0.0,,,
487,490,Habilitado,SI,SI,NO,NO,,CANILLA PLASTICA 3/4  GINYPLAS,CP34G,',',0,0,0,unidad,0.21,CAVALLFER,0,0,586.7768595,708.2374117499999,,710.0,710,SI,SI,NO,0.0,0.0,,,
488,491,Habilitado,SI,SI,NO,NO,,CANILLA PLASTICA ESFERICA 1/2 P/ACOPLE,CP12GA,',',0,0,0,unidad,0.21,CAVALLFER,0,0,454.5454545,550.159533,,550.0,550,SI,SI,NO,0.0,0.0,,,
489,492,Habilitado,SI,SI,NO,NO,,CAÑAMO PEINADO BOLSITA 20 grs.,CPB20,',',0,0,0,unidad,0.21,CAVALLFER,0,0,214.8760331,257.94680174999996,,260.0,260,SI,SI,NO,0.0,0.0,,,
490,493,Habilitado,SI,SI,NO,NO,,CARRETEL BORDEADORA T/ SCHAEFFER C/ROSCA (EBOCAM),CSCR,',',0,0,0,unidad,0.21,CAVALLFER,0,0,652.892562,791.2069604999998,,790.0,790,SI,SI,NO,0.0,0.0,,,
491,494,Habilitado,SI,SI,NO,NO,,CARRETEL COMPLETO CON TANZA (EBOCACC),CCCT,',',0,0,0,unidad,0.21,CAVALLFER,0,0,785.1239669,951.4680119999998,,950.0,950,SI,SI,NO,0.0,0.0,,,
492,495,Habilitado,SI,SI,NO,NO,,CARRETEL PARA BORDEADORA AUTOMATICO (EBOCAA),CBA,',',0,0,0,unidad,0.21,CAVALLFER,0,0,776.8595041,939.3752115,,940.0,940,SI,SI,NO,0.0,0.0,,,
493,496,Habilitado,SI,SI,NO,NO,,CARRETEL T/ SCHAEFFER TAPA ROJA (EBOCAT),CSLN,',',0,0,0,unidad,0.21,CAVALLFER,0,0,702.4793388,854.3482695,,850.0,850,SI,SI,NO,0.0,0.0,,,
494,497,Habilitado,SI,SI,NO,NO,,CEMENTO DE CONTACTO  FORTEX 101 x 18 lts.,CCF10118,',',0,0,0,unidad,0.21,CAVALLFER,0,0,60975.20661,73779.5055195,,73780.0,73780,SI,SI,NO,0.0,0.0,,,
495,498,Habilitado,SI,SI,NO,NO,,CEMENTO DE CONTACTO  FORTEX S/TOL. 101 x 18 lts.,CCFST118,',',0,0,0,unidad,0.21,CAVALLFER,0,0,79471.07438,96160.39530075,,96160.0,96160,SI,SI,NO,0.0,0.0,,,
496,499,Habilitado,SI,SI,NO,NO,,CEMENTO DE CONTACTO FORTEX  101 x     50 cc.,CCF50,',',0,0,0,unidad,0.21,CAVALLFER,0,0,809.9173554,984.601926,,980.0,980,SI,SI,NO,0.0,0.0,,,
497,500,Habilitado,SI,SI,NO,NO,,CEMENTO DE CONTACTO FORTEX  101 x    1/8 lts.,CCF18,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1082.644628,1310.586453,,1310.0,1310,SI,SI,NO,0.0,0.0,,,
498,501,Habilitado,SI,SI,NO,NO,,CEMENTO DE CONTACTO FORTEX  101 x   1/4 lts.,CCF14,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1520.661157,1843.7298165,,1840.0,1840,SI,SI,NO,0.0,0.0,,,
499,502,Habilitado,SI,SI,NO,NO,,CEMENTO DE CONTACTO FORTEX  101 x  1/2 lts.,CCF12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2462.809917,2976.20351325,,2980.0,2980,SI,SI,NO,0.0,0.0,,,
500,503,Habilitado,SI,SI,NO,NO,,CEMENTO DE CONTACTO FORTEX  101 x 1 lts.,CCF1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,4380.165289,5301.43522425,,5300.0,5300,SI,SI,NO,0.0,0.0,,,
501,504,Habilitado,SI,SI,NO,NO,,CEMENTO DE CONTACTO FORTEX  101 x 4 lts.,CCF4,',',0,0,0,unidad,0.21,CAVALLFER,0,0,15528.92562,18786.417135749998,,18790.0,18790,SI,SI,NO,0.0,0.0,,,
502,505,Habilitado,SI,SI,NO,NO,,CEPILLO MATRICERO SET x 3 pzas.,CM3,',',0,0,0,unidad,0.21,CAVALLFER,0,0,710.7438017,857.3400247499999,,860.0,860,SI,SI,NO,0.0,0.0,,,
503,506,Habilitado,SI,SI,NO,NO,,"CEPILLO BARRENDERO ""CALABRO""",CBC,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2016.528926,2440.4906542499994,,2440.0,2440,SI,SI,NO,0.0,0.0,,,
504,507,Habilitado,SI,SI,NO,NO,,CEPILLO ACERO CURVO M/ PLASTICO BANANITA,CCMP,',',0,0,0,unidad,0.21,CAVALLFER,0,0,719.0082645,865.8840465000001,,870.0,870,SI,SI,NO,0.0,0.0,,,
505,508,Habilitado,SI,SI,NO,NO,,CEPILLO ALAMBRE 4 x 19 CON MANGO,C419,',',0,0,0,unidad,0.21,CAVALLFER,0,0,702.4793388,849.48779025,,850.0,850,SI,SI,NO,0.0,0.0,,,
506,509,Habilitado,SI,SI,NO,NO,,CEPILLO ALAMBRE 6 x 19 SIN MANGO,C619,',',0,0,0,unidad,0.21,CAVALLFER,0,0,826.446281,995.4728684999999,,1000.0,1000,SI,SI,NO,0.0,0.0,,,
507,510,Habilitado,SI,SI,NO,NO,,CEPILLOS PARA TALADRO JUEGO x 3 pzs.,CPTJ3,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2057.85124,2488.0442895,,2490.0,2490,SI,SI,NO,0.0,0.0,,,
508,511,Habilitado,SI,SI,NO,NO,,CEPILLOS PARA TALADRO JUEGO x 5 pzs. ( 7438 ),CPTJ5,',',0,0,0,unidad,0.21,CAVALLFER,0,0,3157.024793,3819.2945175,,3820.0,3820,SI,SI,NO,0.0,0.0,,,
509,512,Habilitado,SI,SI,NO,NO,,CEPILLOS PARA TALADRO JUEGO x 6 pzs.,CPTJ6,',',0,0,0,unidad,0.21,CAVALLFER,0,0,6165.289256,7464.078963,,7460.0,7460,SI,SI,NO,0.0,0.0,,,
510,513,Habilitado,SI,SI,NO,NO,,CEPILLO ACERO CON MANGO MADERA IMPORTADO,C419I,',',0,0,0,unidad,0.21,CAVALLFER,0,0,975.2066116,1177.28713575,,1180.0,1180,SI,SI,NO,0.0,0.0,,,
511,514,Habilitado,SI,SI,NO,NO,,CEPILLO ACERO SIN MANGO MADERA IMPORTADO,C619I,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1198.347107,1448.4318007499999,,1450.0,1450,SI,SI,NO,0.0,0.0,,,
512,515,Habilitado,SI,SI,NO,NO,,CEPILLO CURVO MANGO PLASTICO IMPORTADO,CCMPI,',',0,0,0,unidad,0.21,CAVALLFER,0,0,603.3057851,733.28550075,,730.0,730,SI,SI,NO,0.0,0.0,,,
513,516,Habilitado,SI,SI,NO,NO,,CHALECO REFLECTOR NARANJA,CHRN,',',0,0,0,unidad,0.21,CAVALLFER,0,0,917.3553719,1110.0939299999998,,1110.0,1110,SI,SI,NO,0.0,0.0,,,
514,517,Habilitado,SI,SI,NO,NO,,CHISPERO MAGICLICK LLAMA,CMLL,',',0,0,0,unidad,0.21,CAVALLFER,0,0,603.3057851,733.869477,,730.0,730,SI,SI,NO,0.0,0.0,,,
515,518,Habilitado,SI,SI,NO,NO,,CHISPERO MAGICLICK PARTY SOLIDO,CMPS,',',0,0,0,unidad,0.21,CAVALLFER,0,0,537.1900826,654.5565179999999,,650.0,650,SI,SI,NO,0.0,0.0,,,
516,519,Habilitado,SI,SI,NO,NO,,CHISPERO MAGICLICK SIGLO XXI BLACK,CMSB,',',0,0,0,unidad,0.21,CAVALLFER,0,0,545.4545455,664.8165315,,660.0,660,SI,SI,NO,0.0,0.0,,,
517,520,Habilitado,SI,SI,NO,NO,,CHISPERO MAGICLICK VOLCANO C/ RECARGA,CMVR,',',0,0,0,unidad,0.21,CAVALLFER,0,0,801.6528926,966.98381175,,970.0,970,SI,SI,NO,0.0,0.0,,,
518,521,Habilitado,SI,SI,NO,NO,,CHISPERO MAGICLIK BRASAS,CMB,',',0,0,0,unidad,0.21,CAVALLFER,0,0,677.6859504,820.1901509999999,,820.0,820,SI,SI,NO,0.0,0.0,,,
519,522,Habilitado,SI,SI,NO,NO,,RECARGA MAGICLIK,RMC,',',0,0,0,unidad,0.21,CAVALLFER,0,0,256.1983471,313.16400225,,310.0,310,SI,SI,NO,0.0,0.0,,,
520,523,Habilitado,SI,SI,NO,NO,,"CINTA AISLADORA PVC x 10 mts. AMARILLA ""TACSA""",CATAM,',',0,0,0,unidad,0.21,CAVALLFER,0,0,305.785124,368.533935,,370.0,370,SI,SI,NO,0.0,0.0,,,
521,524,Habilitado,SI,SI,NO,NO,,"CINTA AISLADORA PVC x 20 mts. AMARILLA ""TACSA""",CATAM2,',',0,0,0,unidad,0.21,CAVALLFER,0,0,528.9256198,639.02274975,,640.0,640,SI,SI,NO,0.0,0.0,,,
522,525,Habilitado,SI,SI,NO,NO,,"CINTA AUTOSOLDABLE x 2 mts. ""TACSA""",CASC,',',0,0,0,unidad,0.21,CAVALLFER,0,0,826.446281,1000.80052875,,1000.0,1000,SI,SI,NO,0.0,0.0,,,
523,526,Habilitado,SI,SI,NO,NO,,CINTA DE EMBALAJE 48 x 50 MARRON,CEMA,',',0,0,0,unidad,0.21,CAVALLFER,0,0,404.9586777,490.4502075,,490.0,490,SI,SI,NO,0.0,0.0,,,
524,527,Habilitado,SI,SI,NO,NO,,CINTA DE EMBALAJE 48 x 50 TRANSPARENTE,CET,',',0,0,0,unidad,0.21,CAVALLFER,0,0,404.9586777,490.4502075,,490.0,490,SI,SI,NO,0.0,0.0,,,
525,528,Habilitado,SI,SI,NO,NO,,CINTA DE PELIGRO x   50 mts. DOBLE FAZ,CPDF50,',',0,0,0,unidad,0.21,CAVALLFER,0,0,702.4793388,849.6405225000001,,850.0,850,SI,SI,NO,0.0,0.0,,,
526,529,Habilitado,SI,SI,NO,NO,,CINTA DE PELIGRO x 100 mts. DOBLE FAZ,CPDF100,',',0,0,0,unidad,0.21,CAVALLFER,0,0,760.3305785,917.49856275,,920.0,920,SI,SI,NO,0.0,0.0,,,
527,530,Habilitado,SI,SI,NO,NO,,CINTA DE PELIGRO x 200 mts. DOBLE FAZ,CPDF200,',',0,0,0,unidad,0.21,CAVALLFER,0,0,876.0330579,1061.866476,,1060.0,1060,SI,SI,NO,0.0,0.0,,,
528,531,Habilitado,SI,SI,NO,NO,,CINTA DE ENMASCARAR SLEEVE 18 x 50,CES1850,',',0,0,0,unidad,0.21,CAVALLFER,0,0,528.9256198,642.88597725,,640.0,640,SI,SI,NO,0.0,0.0,,,
529,532,Habilitado,SI,SI,NO,NO,,CINTA DE ENMASCARAR SLEEVE 24 x 50,CES2450,',',0,0,0,unidad,0.21,CAVALLFER,0,0,710.7438017,858.7056307499998,,860.0,860,SI,SI,NO,0.0,0.0,,,
530,533,Habilitado,SI,SI,NO,NO,,CINTA DE ENMASCARAR SLEEVE 36 x 50,CES3650,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1066.115702,1285.7899229999998,,1290.0,1290,SI,SI,NO,0.0,0.0,,,
531,534,Habilitado,SI,SI,NO,NO,,CINTA DE ENMASCARAR SLEEVE 48 x 50,CES4850,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1421.487603,1717.4471984999998,,1720.0,1720,SI,SI,NO,0.0,0.0,,,
532,535,Habilitado,SI,SI,NO,NO,,CINTA DE ENMASCARAR UV AZUL 18 x 50,CAS1850,',',0,0,0,unidad,0.21,CAVALLFER,0,0,619.8347107,751.298922,,750.0,750,SI,SI,NO,0.0,0.0,,,
533,536,Habilitado,SI,SI,NO,NO,,CINTA DE ENMASCARAR UV AZUL 24 x 50,CAS2450,',',0,0,0,unidad,0.21,CAVALLFER,0,0,826.446281,1001.69895375,,1000.0,1000,SI,SI,NO,0.0,0.0,,,
534,537,Habilitado,SI,SI,NO,NO,,CINTA DE ENMASCARAR UV AZUL 36 x 50,CAS3650,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1239.669421,1502.5439385,,1500.0,1500,SI,SI,NO,0.0,0.0,,,
535,538,Habilitado,SI,SI,NO,NO,,CINTA DE ENMASCARAR UV AZUL 48 x 50,CAS4850,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1652.892562,2003.3979075,,2000.0,2000,SI,SI,NO,0.0,0.0,,,
536,539,Habilitado,SI,SI,NO,NO,,"CINTA REFRIGERACION SIN ADHESIVO x 20 mts ""TACSA""",CRSA,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2380.165289,2884.0700294999992,,2880.0,2880,SI,SI,NO,0.0,0.0,,,
537,540,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPACAÑERIAS DE   5 mts. ""VIYILANT""",CDCA5,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1553.719008,1882.8472409999997,,1880.0,1880,SI,SI,NO,0.0,0.0,,,
538,541,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPACAÑERIAS DE 10 mts. ""VIYILANT""",CDCA10,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2066.115702,2500.34372775,,2500.0,2500,SI,SI,NO,0.0,0.0,,,
539,542,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPACAÑERIAS DE 15 mts. ""ALIGAS""",CDCA15,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2528.92562,3060.8261639999996,,3060.0,3060,SI,SI,NO,0.0,0.0,,,
540,543,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPACAÑERIAS DE 20 mts. ""ALIGAS""",CDCA20,',',0,0,0,unidad,0.21,CAVALLFER,0,0,3099.173554,3745.9381162499994,,3750.0,3750,SI,SI,NO,0.0,0.0,,,
541,544,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPA CAÑERIAS  5 mts. ""S 3""",CDC5,',',0,0,0,unidad,0.21,CAVALLFER,0,0,4123.966942,4990.90360725,,4990.0,4990,SI,SI,NO,0.0,0.0,,,
542,545,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPA CAÑERIAS 10  mts. ""S 3""",CDC10,',',0,0,0,unidad,0.21,CAVALLFER,0,0,7024.793388,8504.158632749997,,8500.0,8500,SI,SI,NO,0.0,0.0,,,
543,546,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPA CAÑERIAS 15  mts. ""S 3""",CDC15,',',0,0,0,unidad,0.21,CAVALLFER,0,0,9933.884298,12017.3507685,,12020.0,12020,SI,SI,NO,0.0,0.0,,,
544,547,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPA CAÑERIAS 20 mts. ""S 3""",CDC20,',',0,0,0,unidad,0.21,CAVALLFER,0,0,13140.49587,15900.10104375,,15900.0,15900,SI,SI,NO,0.0,0.0,,,
545,548,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPA PILETA  5 mts. ""S 3""",CDP5,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1735.53719,2101.9191929999997,,2100.0,2100,SI,SI,NO,0.0,0.0,,,
546,549,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPA PILETA 10 mts. ""S 3""",CDP10,',',0,0,0,unidad,0.21,CAVALLFER,0,0,2272.727273,2752.9718534999997,,2750.0,2750,SI,SI,NO,0.0,0.0,,,
547,550,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPAPILETAS PLASTICA ""ALIGAS""  5 mts.",CDPA5,',',0,0,0,unidad,0.21,CAVALLFER,0,0,884.2975207,1074.192867,,1070.0,1070,SI,SI,NO,0.0,0.0,,,
548,551,Habilitado,SI,SI,NO,NO,,"CINTA DESTAPAPILETAS PLASTICA ""ALIGAS"" 10 mts.",CDPA10,',',0,0,0,unidad,0.21,CAVALLFER,0,0,1264.46281,1529.27208225,,1530.0,1530,SI,SI,NO,0.0,0.0,,,
