,Nº de producto,Estado,Disponible para la venta,Disponible para la compra,Disponible para integrar otros productos,Compuesto por otros productos,Rubro,Nombre,codigo,Código universal de producto (UPC),Código de proveedor,Stock actual,Stock ideal,Stock mínimo,Unidad,Alicuota de IVA,Proveedor,Costo ($),Utilidad (%),Precio ($),Unnamed: 20,Unnamed: 21,Unnamed: 22,Precio Final ($),Controla stock,Stock negativo,Mostrar en tienda,Nº de publicación en MercadoLibre,Nº de publicación adicional en MercadoLibre,Descripción,Descripción para la tienda,Observaciones Internas
23,24,Habilitado,SI,SI,NO,NO,,"ENCHUFE DOBLE REF.  1"" PE",ED1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,74.38016529,89.85148424999998,,90.0,90,SI,SI,NO,0.0,0.0,,,
24,25,Habilitado,SI,SI,NO,NO,,"ENCHUFE DOBLE REF. 1/2"" PE",ED12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,41.32231405,49.386422249999995,,50.0,50,SI,SI,NO,0.0,0.0,,,
25,26,Habilitado,SI,SI,NO,NO,,"ENCHUFE DOBLE REF. 3/4"" PE",ED34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,49.58677686,58.756995,,60.0,60,SI,SI,NO,0.0,0.0,,,
26,27,Habilitado,SI,SI,NO,NO,,ENCHUFE REDUCCION ROSCA HEMBRA 1 - 1/2 PE,ERH112,',',0,0,0,unidad,0.21,CAVALLFER,0,0,181.8181818,218.79344024999997,,220.0,220,SI,SI,NO,0.0,0.0,,,
27,28,Habilitado,SI,SI,NO,NO,,ENCHUFE REDUCCION ROSCA HEMBRA 1 - 3/4 PE,ERH134,',',0,0,0,unidad,0.21,CAVALLFER,0,0,181.8181818,218.79344024999997,,220.0,220,SI,SI,NO,0.0,0.0,,,
28,29,Habilitado,SI,SI,NO,NO,,ENCHUFE REDUCCION ROSCA HEMBRA 1/2 - 3/4 PE,ERH1234,',',0,0,0,unidad,0.21,CAVALLFER,0,0,165.2892562,203.70888449999998,,200.0,200,SI,SI,NO,0.0,0.0,,,
29,30,Habilitado,SI,SI,NO,NO,,ENCHUFE REDUCCION ROSCA HEMBRA 3/4 - 1 PE,ERH341,',',0,0,0,unidad,0.21,CAVALLFER,0,0,181.8181818,218.79344024999997,,220.0,220,SI,SI,NO,0.0,0.0,,,
30,31,Habilitado,SI,SI,NO,NO,,ENCHUFE REDUCCION ROSCA HEMBRA 3/4 - 1/2 PE,ERH3412,',',0,0,0,unidad,0.21,CAVALLFER,0,0,157.0247934,187.69895099999997,,190.0,190,SI,SI,NO,0.0,0.0,,,
31,32,Habilitado,SI,SI,NO,NO,,"ENCHUFE REDUCCION ROSCA MACHO  1"" - 1/2 PE",ERM112,',',0,0,0,unidad,0.21,CAVALLFER,0,0,115.7024793,136.03052925,,140.0,140,SI,SI,NO,0.0,0.0,,,
32,33,Habilitado,SI,SI,NO,NO,,"ENCHUFE REDUCCION ROSCA MACHO 1"" - 3/4 PE",ERM134,',',0,0,0,unidad,0.21,CAVALLFER,0,0,115.7024793,136.03052925,,140.0,140,SI,SI,NO,0.0,0.0,,,
33,34,Habilitado,SI,SI,NO,NO,,ENCHUFE REDUCCION ROSCA MACHO 1/2 - 3/4 PE,ERM1234,',',0,0,0,unidad,0.21,CAVALLFER,0,0,90.90909091,107.68522049999999,,110.0,110,SI,SI,NO,0.0,0.0,,,
34,35,Habilitado,SI,SI,NO,NO,,"ENCHUFE REDUCCION ROSCA MACHO 3/4 - 1"" PE",ERM341,',',0,0,0,unidad,0.21,CAVALLFER,0,0,115.7024793,136.03052925,,140.0,140,SI,SI,NO,0.0,0.0,,,
35,36,Habilitado,SI,SI,NO,NO,,ENCHUFE REDUCCION ROSCA MACHO 3/4 - 1/2 PE,ERM3412,',',0,0,0,unidad,0.21,CAVALLFER,0,0,90.90909091,107.68522049999999,,110.0,110,SI,SI,NO,0.0,0.0,,,
36,37,Habilitado,SI,SI,NO,NO,,"ENCHUFE RH REFORZADA DE 1"" PE",ERH1,',',0,0,0,unidad,0.21,CAVALLFER,0,0,173.553719,205.76627774999997,,210.0,210,SI,SI,NO,0.0,0.0,,,
37,38,Habilitado,SI,SI,NO,NO,,ENCHUFE RH REFORZADO 1/2 PE,ERH12,',',0,0,0,unidad,0.21,CAVALLFER,0,0,107.4380165,132.60753,,130.0,130,SI,SI,NO,0.0,0.0,,,
38,39,Habilitado,SI,SI,NO,NO,,ENCHUFE RH REFORZADO 3/4 PE,ERH34,',',0,0,0,unidad,0.21,CAVALLFER,0,0,132.231405,157.06265849999997,,160.0,160,SI,SI,NO,0.0,0.0,,,
