,Unnamed: 0,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
62,,,ACCESORIOS CORTINA,0.0,#REF!,#REF!,#REF!
63,,GGR,ACC. P/CORTINA GRAMPAS GIRATORIAS REF.,495.94,#REF!,#REF!,#REF!
64,,PDZ,ACC. P/CORTINA PASACINTAS DOBLES,308.1,#REF!,#REF!,#REF!
65,,PZ20,ACC. P/CORTINA POLEA 20 CMS. ZINCADA,2719.06,#REF!,#REF!,#REF!
66,,PZ23,ACC. P/CORTINA POLEA 23 CMS. ZINCADA,2988.07,#REF!,#REF!,#REF!
67,,PER,ACC. P/CORTINA PUNTA EJE REFORZADO,452.96,#REF!,#REF!,#REF!
68,,TCZ,ACC. P/CORTINA TOPES DE CORTINAS ZINC.,275.77,#REF!,#REF!,#REF!
69,,,,0.0,#REF!,#REF!,#REF!
70,,,ACCESORIOS DE BRONCE PARA GAS,0.0,#REF!,#REF!,#REF!
71,,BV1418,BUJE MH 1/4 x 1/8 P/ VIROLA,243.51,#REF!,#REF!,#REF!
72,,BV3814,BUJE MH 3/8 x 1/4 P/ VIROLA,354.46,#REF!,#REF!,#REF!
73,,B1214,BUJE RMH 1/2 x 1/4,331.38,#REF!,#REF!,#REF!
74,,B1238,BUJE RMH 1/2 x 3/8,336.52,#REF!,#REF!,#REF!
75,,CHM14,CODO HM 1/4 P/ VIROLA,896.73,#REF!,#REF!,#REF!
76,,CHM18,CODO HM 1/8 P/ VIROLA,860.63,#REF!,#REF!,#REF!
77,,CHM38,CODO HM 3/8 P/ VIROLA,1059.14,#REF!,#REF!,#REF!
78,,CMM14,CODO MM 1/4 P/ VIROLA,827.81,#REF!,#REF!,#REF!
79,,CMM18,CODO MM 1/8 P/ VIROLA,903.83,#REF!,#REF!,#REF!
80,,CMM38,CODO MM 3/8 P/ VIROLA,1161.63,#REF!,#REF!,#REF!
81,,CHM1214,CODO REDUCCION H 1/2 x M 1/4 P/ VIROLA,862.18,#REF!,#REF!,#REF!
82,,CHM1238,CODO REDUCCION H 1/2 x M 3/8 P/ VIROLA,862.18,#REF!,#REF!,#REF!
83,,CMM1214,CODO REDUCCION M 1/2 x M 1/4 P/ VIROLA,569.17,#REF!,#REF!,#REF!
84,,CMM1238,CODO REDUCCION M 1/2 x M 3/8 P/ VIROLA,569.17,#REF!,#REF!,#REF!
85,,CHH14,CODO RHH 1/4,827.81,#REF!,#REF!,#REF!
86,,CHH18,CODO RHH 1/8,931.67,#REF!,#REF!,#REF!
87,,CHH38,CODO RHH 3/8,1161.63,#REF!,#REF!,#REF!
88,,CU14,CUPLA 1/4,384.31,#REF!,#REF!,#REF!
89,,CU38,CUPLA 3/8,527.77,#REF!,#REF!,#REF!
90,,CUR1214,CUPLA REDUCCION 1/2 x 1/4,777.31,#REF!,#REF!,#REF!
91,,CUR1238,CUPLA REDUCCION 1/2 x 3/8,777.31,#REF!,#REF!,#REF!
92,,CUR3814,CUPLA REDUCCION 3/8 x 1/4,643.38,#REF!,#REF!,#REF!
