,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,0.45,DESCUENTO,,,,
1,,,MARGEN,,,,
2,,,,,,,
3,,codigo,detalle,LISTA,COSTO,COSTO + IVA,VENTA
62,,AP10,ABRAZADERA SERIE  AP-10  40 a 37 mm.,1195.21,537.8445,650.7918450000001,1073.8065442500001
63,,AP11,ABRAZADERA SERIE  AP-11  43 a 40 mm.,1284.8,578.16,699.5735999999999,1154.2964399999998
64,,AP12,ABRAZADERA SERIE  AP-12  47 a 43 mm.,1331.45,599.1525,724.974525,1196.2079662499998
65,,,,0,0,0,0
66,,,ACCESORIOS CORTINA,0,0,0,0
67,,GGR,ACC. P/CORTINA GRAMPAS GIRATORIAS REF.,495.94,223.173,270.03933,445.5648945
68,,PDZ,ACC. P/CORTINA PASACINTAS DOBLES,308.1,138.645,167.76045000000002,276.80474250000003
69,,PZ20,ACC. P/CORTINA POLEA 20 CMS. ZINCADA,2719.06,1223.577,1480.52817,2442.8714805
70,,PZ23,ACC. P/CORTINA POLEA 23 CMS. ZINCADA,2988.07,1344.6315000000002,1627.0041150000002,2684.55678975
71,,PER,ACC. P/CORTINA PUNTA EJE REFORZADO,452.96,203.832,246.63672,406.950588
72,,TCZ,ACC. P/CORTINA TOPES DE CORTINAS ZINC.,275.77,124.09649999999999,150.15676499999998,247.75866224999996
73,,,,0,0,0,0
74,,,ACCESORIOS DE BRONCE PARA GAS,0,0,0,0
75,,BV1418,BUJE MH 1/4 x 1/8 P/ VIROLA,243.51,109.5795,132.591195,218.77547174999998
76,,BV3814,BUJE MH 3/8 x 1/4 P/ VIROLA,354.46,159.507,193.00347,318.45572549999997
77,,B1214,BUJE RMH 1/2 x 1/4,331.38,149.121,180.43641,297.72007649999995
78,,B1238,BUJE RMH 1/2 x 3/8,336.52,151.434,183.23514,302.337981
79,,CHM14,CODO HM 1/4 P/ VIROLA,896.73,403.5285,488.269485,805.6446502499999
80,,CHM18,CODO HM 1/8 P/ VIROLA,860.63,387.2835,468.61303499999997,773.2115077499999
81,,CHM38,CODO HM 3/8 P/ VIROLA,1059.14,476.61300000000006,576.70173,951.5578545
82,,CMM14,CODO MM 1/4 P/ VIROLA,827.81,372.5145,450.742545,743.72519925
